# StartTime = 10-06-2025 10:17:22.1798 PM
Time (sec), Vehicle speed (km/h), Acceleration (g), Total Fuel Economy (l/100 km), Engine Power (hp), Fuel Rate (l/hr), Total CO2 (kg), CO2 flow (g/s), Instant Fuel Economy (l/100 km), Instant CO2 rate (g/km), Mass air flow rate (g/s), Fuel/Air commanded equivalence ratio, Barometric pressure (psi), Support of intake manifold absolute pressure data, Intake manifold absolute pressure A (psi), Boost (psi), Engine RPM (RPM), Engine Torque (N•m), Latitude (deg), Longitude (deg)
0.114,0,3.2360285E-17,0,0,0,0,0,0,0,3.98,0.999424,14.358736,1,4.763583,-9.595153,792.25,43.121082,0,0
0.326,0,3.2360285E-17,26.518003,4.7975163,1.3245152,11.530745,0.8637668,0,0,4.11,0.999424,14.358736,1,4.7318563,-9.62688,798,44.208702,0,0
0.700,0,3.2360285E-17,26.518799,4.9542193,1.3677783,11.531091,0.8919803,0,0,4.06,0.999424,14.358736,1,4.532429,-9.826306,798.75,43.62988,44.01193,-78.946205
1.061,0,3.2360285E-17,26.519531,4.893949,1.3511387,11.531409,0.8811289,0,0,4.09,0.999424,14.358736,1,4.718259,-9.640477,802.75,43.733257,44.01193,-78.946205
1.419,0,3.2360285E-17,26.520262,4.930111,1.3611225,11.531727,0.8876397,0,0,3.99,0.999424,14.358736,1,4.568689,-9.790048,799.75,42.824024,44.01193,-78.946205
1.780,0,3.2360285E-17,26.52098,4.8095703,1.3278432,11.53204,0.86593705,0,0,4.08,0.999424,14.358736,1,4.5369616,-9.8217745,802.75,43.62633,44.01193,-78.946205
2.140,0,3.2360285E-17,26.521713,4.918057,1.3577945,11.532357,0.88546944,0,0,4.07,0.999424,14.358736,1,4.6366754,-9.722061,801.5,43.587276,44.01193,-78.946205
2.501,0,3.2360285E-17,26.522448,4.906003,1.3544667,11.532677,0.8832992,0,0,4.15,0.999424,14.358736,1,4.5233645,-9.835372,802.25,44.402477,44.01193,-78.946205
2.861,0,3.2360285E-17,26.523193,5.002435,1.38109,11.533002,0.90066135,0,0,4.02,0.999424,14.358736,1,4.591351,-9.7673855,801.5,43.051807,44.01193,-78.946205
3.222,0,3.2360285E-17,26.523916,4.8457327,1.337827,11.533316,0.87244785,0,0,4.05,0.999424,14.358736,1,4.6593375,-9.699399,799.25,43.49519,44.01193,-78.946205
3.588,0,3.2360285E-17,26.524641,4.8818946,1.3478107,11.533631,0.87895864,0,0,4.08,0.999424,14.358736,1,4.604948,-9.753788,798,43.886013,44.01193,-78.946205
3.974,0,3.2360285E-17,26.525389,4.918057,1.3577945,11.533956,0.88546944,0,0,4.06,0.999424,14.358736,1,4.62761,-9.731126,801.5,43.480183,44.01193,-78.946205
4.339,0,3.2360285E-17,26.526136,4.893949,1.3511387,11.534281,0.8811289,0,0,4.04,0.999424,14.358736,1,4.62761,-9.731126,802,43.23902,44.01193,-78.946205
4.731,0,3.2360285E-17,26.526957,4.8698406,1.3444829,11.534637,0.8767884,0,0,4.15,0.999424,14.358736,1,4.6412077,-9.717528,806,44.195892,44.01193,-78.946205
